Date,Time,MagX,MagY,MagZ,TempSensor
07.07.23 ,0:33:22:,0,0,"-2421
",0
"07.07.23",20:33:23,0,0,"-2421
",0
"07.07.23",20:33:24,0,0,"-2421
",24.56
"07.07.23",20:33:25,0,0,"-2421
",24.56
"07.07.23",20:33:26,0,0,"-2421
",24.50
"07.07.23",20:33:27,0,0,"-2421
",24.69
"07.07.23",20:33:28,0,0,"-2421
",24.56
"07.07.23",20:33:29,0,0,"-2421
",24.56
"07.07.23",20:33:30,0,0,"-2421
",24.62
"07.07.23",20:33:31,0,0,"-2421
",24.56
"07.07.23",20:33:32,0,0,"-2365
",24.62
"07.07.23",20:33:33,0,0,"-2365
",24.62
"07.07.23",20:33:34,0,0,"-2365
",24.56
"07.07.23",20:33:35,0,0,"-2251
",24.56
"07.07.23",20:33:36,0,0,"-2251
",24.50
"07.07.23",20:33:37,0,0,"-2251
",24.56
"07.07.23",20:33:38,0,0,"-2251
",24.56
"07.07.23",20:33:39,0,0,"-2251
",24.56
"07.07.23",20:33:40,0,0,"-2251
",24.56
"07.07.23",20:33:41,0,0,"-2251
",24.50
07.07.23 ,1:03:26:,0,0,-2412,24.44
"07.07.23",21:03:27,0,0,-2412,24.44
"07.07.23",21:03:28,0,0,-2412,0
"07.07.23",21:03:29,0,0,-2412,24.37
"07.07.23",21:03:30,0,0,-2412,24.44
"07.07.23",21:03:31,0,0,-2412,24.44
"07.07.23",21:03:32,0,0,-2411,0
"07.07.23",21:03:33,0,0,-2411,24.37
"07.07.23",21:03:34,0,0,-2411,24.44
"07.07.23",21:03:35,0,0,-2411,24.44
"07.07.23",21:03:36,0,0,-2411,24.69
"07.07.23",21:03:37,0,0,-2411,24.56
"07.07.23",21:03:38,0,0,-2412,24.50
"07.07.23",21:03:39,0,0,-2412,24.50
"07.07.23",21:03:40,0,0,-2412,24.50
"07.07.23",21:03:41,0,0,-2411,24.44
"07.07.23",21:03:42,0,0,-2411,24.44
"07.07.23",21:03:43,0,0,-2411,24.44
"07.07.23",21:03:44,0,0,-2411,24.44
"07.07.23",21:03:45,0,0,-2411,24.44
10.07.23,3:35:07:,0,0,-19818,22.94
10.07.23,13:35:08,0,0,-19818,22.87
10.07.23,13:35:09,0,0,-19818,22.87
10.07.23,13:35:10,0,0,-19962,22.87
10.07.23,13:35:11,0,0,-19962,22.81
10.07.23,13:35:12,0,0,-19962,22.75
10.07.23,13:35:13,0,0,-19962,22.75
10.07.23,13:35:14,0,0,-19962,22.75
10.07.23,13:35:15,0,0,-19962,22.75
10.07.23,13:35:16,0,0,-19962,22.75
10.07.23,13:35:17,0,0,-19962,22.75
10.07.23,13:35:18,0,0,-19962,22.75
10.07.23,13:35:19,0,0,-19975,22.75
10.07.23,13:35:20,0,0,-19975,22.75
10.07.23,13:35:21,0,0,-19975,22.75
10.07.23,13:35:22,0,0,-19976,22.81
10.07.23,13:35:23,0,0,-19976,22.75
10.07.23,13:35:24,0,0,-19976,22.81
10.07.23,13:35:25,0,0,-19976,22.81
10.07.23,13:35:26,0,0,-19976,22.87
